Vendor Name,Department,Last 12 months Cost (USD),1-line Description,Recommendation,Rationale,Confidence
Roto Dinamic D.O.O.,Facilities,$512,Croatia office maintenance or building services,Investigate,"Roto Dinamic is not a well-known vendor; 'Roto' could suggest rotating equipment, HVAC, or industrial services but scope unclear at $512/yr. Low spend justifies brief verification before classifying.",low
Tm Forum,IT & Infrastructure,$510,TM Forum membership for telecom digital transformation standards,Investigate,TM Forum is a telecom industry association focused on OSS/BSS standards. Unclear why a general tech/SaaS company needs this membership—could be legacy from pre-acquisition or niche integration requirement. Low spend but worth confirming business relevance.,medium
Marvie Hotel - Krupa D.O.O.,Travel & Entertainment,$502,Croatian hotel accommodation — likely employee travel/lodging,Optimize,Correct classification. Low spend Croatian hotel should be routed through Navan for policy compliance and consolidated rates.,high
Merchandise Ltd,Marketing,$490,Promotional merchandise and branded company swag,Optimize,Low spend on branded merchandise; consolidate orders or negotiate volume discounts. Classification is correct.,medium
Yllow Submarine D.O.O.,Employee Experience,$486,Office catering and employee meals,Consolidate,"Name suggests food/catering (Yellow Submarine likely a restaurant or caterer). Low-spend Croatian D.O.O. for employee meals belongs in Employee Experience, not Facilities. With multiple Croatian caterers in portfolio, consolidate rather than investigate.",medium
Streamlinereforms Inc,G&A,$483,Unclear vendor — name suggests consulting or reform services,Investigate,"Opaque vendor name with very low spend; 'Streamline Reforms' could be process consulting, software, or miscoded payment. Insufficient context to classify directly — warrants verification.",low
Make And Grow Ltd,Marketing,$483,UK digital marketing agency for paid acquisition and SEO,Terminate,Low spend ($483) indicates minimal/dormant engagement; likely completed project or redundant post-acquisition.,medium
Obiteljski Hoteli D.O.O.,Travel & Entertainment,$474,Croatian family hotel accommodations for business travel,Consolidate,"Small direct hotel booking should be routed through Navan for centralized tracking, policy compliance, and negotiated rates.",high
Rudan D.O.O.,Facilities,$473,Croatian local facilities or maintenance services,Investigate,Agree — generic D.O.O. name with no clear service indicator; low spend warrants quick verification of scope before consolidation decision,low
Entrio Tehnologije D.O.O.,Employee Experience,$473,Croatian event ticketing/management platform for corporate events,Consolidate,"Corporate event ticketing belongs in Employee Experience (team events), not Facilities. Low spend suggests minimal usage; consolidate into unified event management approach.",high
Vivat Fina Vina D.O.O.,Employee Experience,$467,Croatian wine supplier for office events and hospitality,Optimize,"Wine/beverage for office events falls under Employee Experience (team events, hospitality), not Facilities. Recommendation and rationale unchanged.",high
"Figma, Inc.",Engineering,$460,Collaborative design and prototyping platform for product/UI teams,Optimize,Correct classification. Figma is a core design tool for product teams; low spend indicates few seats. Right-sizing to active users is appropriate.,high
E-Disti D.O.O.,Facilities,$458,Croatian office supplies or small equipment distribution,Optimize,D.O.O. Croatian entity with 'Disti' suggesting distribution; low spend aligns with minor office supplies. Optimize by consolidating with primary supplier.,medium
Greencell Express Private Limited,Facilities,$457,India office waste management and recycling services,Optimize,"Greencell Express is an Indian logistics/courier company, but PASS-1's waste management interpretation is plausible given the 'Green' branding and low spend. Facilities is correct for either courier or waste services. Low spend warrants rate optimization.",medium
Edwardian Pastoria Hotels Ltd (The Londoner),Travel & Entertainment,$433,London hotel accommodations for business travel,Consolidate,"Correct classification. Hotel spend should flow through Navan for policy compliance, rate optimization, and visibility. Low spend suggests ad-hoc booking outside preferred channels.",high
Tiganda J.D.O.O.,Facilities,$432,Croatian local facilities or maintenance services provider,Investigate,"Agree - J.D.O.O. (Croatian business entity) with opaque name and low spend requires scope verification; could be facilities, catering, or other local service",low
"Franklin, Gringer & Cohen, P.C.",Legal,$427,US law firm — likely employment or compliance counsel,Investigate,Agree. Low spend ($427) suggests either one-off matter or residual billing; need to confirm if engagement is active or concluded before termination decision.,medium
Blitz - Cinestar D.O.O.,Employee Experience,$426,Croatian cinema venue for team events,Optimize,"Cinema/entertainment for employee events belongs in Employee Experience, not Facilities. Facilities covers real estate, utilities, maintenance, and office supplies.",high
Lancefield Bus Service,Employee Experience,$412,Employee shuttle or group transport service,Investigate,"Bus service for employee group transport (likely team event, offsite, or commuter shuttle) belongs in Employee Experience per rule 5, not Facilities. Investigate remains appropriate given minimal spend and unclear ongoing need.",medium
Super Odrediå¡Te D.O.O.,Employee Experience,$378,Office catering and employee meals,Consolidate,"""Odredište"" means ""destination"" in Croatian, commonly used in catering/restaurant names. Low spend suggests employee meals or catering. With multiple Croatian food vendors in portfolio, consolidate rather than investigate. Moved from Facilities to Employee Experience per rules.",medium
Pmi Global Operations Center,People & HR,$378,Project Management Institute certification or membership fees,Optimize,"PMI certifications (PMP, etc.) are professional development for employees, not statutory/mandatory fees. This belongs in People & HR as L&D spend. Low spend suggests 1-2 employee memberships; should be consolidated under a formal L&D policy rather than investigated.",high
Student Packers & Movers,Facilities,$371,Office relocation and moving services,Optimize,Low spend indicates likely one-time or occasional move; Facilities is correct for physical logistics; Optimize appropriate to retain for future relocations at negotiated rates.,medium
Del Posto D.O.O.,Employee Experience,$364,Croatian local catering or food services,Optimize,"Employee food/catering belongs in Employee Experience, not Facilities per classification rules. Low spend suggests occasional use; consolidate with other Croatian catering vendors.",high
Inicijativa Centar Za Edukaciju,People & HR,$358,Croatian education/training center for employee development,Optimize,Agree with PASS-1. Low-spend local training provider in Croatia; appropriate candidate to evaluate consolidation into global L&D platform or retain if specialized local compliance training is required.,medium
Niva Transport J.D.O.O.,Facilities,$358,Croatian local transport/logistics services (Zagreb/Split offices),Optimize,Agree. J.D.O.O. indicates Croatian entity; transport/logistics correctly mapped to Facilities. Low spend suggests occasional courier/delivery use; consolidation with other local transport vendors reasonable.,medium
Doctor Anywhere Operations Pte Ltd,People & HR,$347,Singapore telemedicine platform for employee healthcare benefits,Optimize,Correctly classified as employee health benefit. Very low spend suggests minimal utilization; worth reviewing if still needed for Singapore headcount or can be consolidated into broader benefits package.,high
Spar Hrvatska D.O.O.,Employee Experience,$341,Croatian grocery chain for office snacks and employee refreshments,Optimize,"Spar is a grocery/supermarket chain; purchases are likely snacks, beverages, and food for employees—belongs in Employee Experience per rules, not Facilities. Recommendation remains Optimize given low spend.",high
Pepe'S Italian And Liquor,Employee Experience,$339,Italian restaurant for team meals or events,Optimize,"Employee meals and team dining belong in Employee Experience, not Facilities. Recommend consolidating under preferred catering vendors or expense policy.",high
"Pluralsight, Llc",Engineering,$318,Online tech skills training platform for developers,Optimize,Agree. Pluralsight is a developer-focused L&D platform; $318 suggests minimal usage—consolidate seats or negotiate.,high
Maniax Melbourne Cbd,Employee Experience,$315,Axe-throwing entertainment venue for team activities,Optimize,"Maniax is an axe-throwing venue chain; correct classification as team activity. Low spend, consolidate under T&E policy. Slightly refined description for specificity.",high
Dnsimple,IT & Infrastructure,$312,Domain name registration and DNS management service,Optimize,"Correct classification. DNSimple is a DNS/domain registrar. Low spend at $312/year suggests limited domains; good candidate for consolidation into primary registrar (e.g., Cloudflare, AWS Route 53) or scope review.",high
Treci Posao D.O.O.,People & HR,$307,Croatian recruitment/staffing agency (Zagreb/Split office),Investigate,Agree. 'Treci Posao' translates to 'Third Job' - likely a Croatian job board or recruitment service. $307 is minimal spend; worth verifying if active recruiting engagement or residual/legacy charge before terminating.,medium
Gaucho Restaurants,Employee Experience,$302,UK restaurant chain for team dining expenses,Optimize,"Employee meals and team dining should be classified under Employee Experience, not Travel & Entertainment. Facilities does not cover food/catering either.",high
Formswift,G&A,$301,Online document templates and basic legal forms,Terminate,Low-cost commodity form builder easily replaced by proper legal/HR document systems post-acquisition.,high
Safestore Ltd,Facilities,$287,UK self-storage for office equipment/archives,Optimize,Safestore is a UK self-storage provider; low spend indicates minimal usage. Correct classification as Facilities. Optimize is appropriate to verify necessity or consolidate storage needs.,high
Split Tech City,Facilities,$284,Croatia co-working/office space or tech community membership,Optimize,Split Tech City is a co-working/tech hub membership in Croatia; low spend suggests minor footprint. Facilities is correct for workspace-related costs. Optimize to assess ongoing need post-acquisition.,medium
National Securities Depository Limited(Nsdl),Finance,$281,Indian securities depository services for share registry/dematerialization,Protected,NSDL is India's statutory depository; mandatory for holding dematerialized securities. Correctly classified as Protected under regulatory compliance.,high
Adamma Info Services Private Limited,IT & Infrastructure,$273,Indian IT services or software licensing (Chennai region),Investigate,"Agree with PASS-1. Low spend ($273), opaque vendor name with no clear service indicator. Warrants investigation to confirm scope and necessity post-acquisition.",low
The Riding House Cafe,Employee Experience,$265,London restaurant for employee meals and team gatherings,Optimize,"Employee food/meals at restaurants belong to Employee Experience per rules, not Travel & Entertainment. Low spend suggests occasional use; monitor meal policy compliance.",high
Stillmark Zagreb D.O.O.,Facilities,$263,Zagreb office supplies or minor facility services,Investigate,Agree - opaque Croatian D.O.O. name with minimal spend; cannot determine specific service without further investigation to confirm ongoing need,low
Lastpass Ireland Limited,IT & Infrastructure,$263,Password management and credential vault for employees,Consolidate,"LastPass is a legitimate enterprise password manager. Low spend suggests either limited seats or legacy contract. Should consolidate with other credential management tools (e.g., 1Password, Bitwarden, or SSO provider) rather than terminate outright — password managers are security-critical infrastructure.",high
Taste Of Health,Employee Experience,$259,Healthy meal or snack catering service,Consolidate,"Employee food/catering belongs in Employee Experience, not Facilities. Name clearly indicates food service; low spend suggests consolidation with other catering vendors rather than investigation.",medium
Infodata,IT & Infrastructure,$241,IT services or data management provider,Investigate,"Generic vendor name with minimal spend; scope unclear—could be data services, software, or legacy IT. Confirm if still active before termination decision.",low
Amazon (Aus),IT & Infrastructure,$233,AWS cloud infrastructure services (Australia region),Consolidate,Agree. Low-spend regional AWS entity should be consolidated under primary Amazon Web Services billing account for unified pricing and simplified vendor management.,high
Regency Hampers Ltd,Employee Experience,$248,Corporate gift hampers for employees or clients,Terminate,Agree with PASS-1. Very low spend on discretionary gifting; easily eliminated or consolidated into broader employee rewards program.,high
Bella Operation A/S,G&A,$241,Danish conference venue or event space operator (unconfirmed),Investigate,"Corrected description. 'Bella Operation A/S' is a Danish entity (A/S = Aktieselskab). Low spend ($241) and opaque name - could be event venue, office services, or other. Requires clarification on actual service provided.",low
The Plant Man,Facilities,$235,Office plant maintenance and care services,Optimize,"Correct classification. Plant maintenance is a Facilities service (building upkeep, not employee experience). Low spend warrants contract review or consolidation across office locations.",high
Media Promo Plus D.O.O.,Marketing,$226,Croatian promotional materials or media advertising services,Investigate,Low spend Croatian vendor with unclear scope between promotional products vs. media buying; worth confirming actual service before terminate/optimize decision.,medium
Expert-Ing D.O.O.,Facilities,$225,Croatian building inspection and engineering contractor,Investigate,"Agree with PASS-1: 'Expert-Ing' suggests engineering/technical services but scope is ambiguous at this low spend level; could be facilities-related technical inspection, IT consulting, or miscoded contractor. Worth brief investigation to confirm purpose and necessity.",low
Atlassian Pty Ltd,Engineering,$224,"Atlassian collaboration tools (Jira, Confluence, or Bitbucket)",Optimize,"Agree. Very low spend for Atlassian suggests minimal seats; should review usage and consolidate if duplicative with other tools, or right-size licenses.",high
Djs For U,Employee Experience,$220,DJ services for employee events and celebrations,Optimize,Correct classification. DJ services for company events belong in Employee Experience. Low spend and occasional use support consolidating with broader event vendor or negotiating better ad-hoc rates.,high
Freepik Company,Marketing,$203,"Stock images, vectors, icons for digital marketing collateral",Optimize,Correct classification; Freepik is a stock asset platform used for marketing/design. Low spend suggests single-seat or limited plan - verify active usage and consolidate with other stock asset subscriptions if any.,high
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,Statutory / Non-discretionary,$199,Croatian public health institute — mandatory employee health screenings,Protected,"Agree. This is Croatia's public health institute (Dr. Andrija Štampar) providing legally mandated occupational health examinations required under Croatian labor law. Statutory spend, correctly Protected.",high
Rishi Events And Entainment,Employee Experience,$198,India-based corporate events and entertainment services,Optimize,Correct classification. Low-spend events vendor in India office; fits Employee Experience for team events. Optimize is appropriate to assess necessity and consolidate with other local event providers.,medium
Kosmaz Technologies Croatia,IT & Infrastructure,$195,Croatian IT services or software provider,Investigate,"Opaque vendor name with minimal spend; scope unclear—could be local IT support, software license, or contractor. Worth confirming before action.",low
Dhl,Facilities,$191,International courier and express shipping services,Optimize,Correct classification. DHL is a courier/logistics provider for office shipping needs. Low spend suggests minimal usage; could consolidate with other shipping vendors or negotiate rates.,high
Hotel Laguna D.D.,Travel & Entertainment,$190,Croatian hotel accommodation for business travel,Consolidate,Agree. Low-spend direct hotel booking in Croatia should be consolidated into Navan for centralized travel management and visibility.,high
Bigshare Services Private Limited,Finance,$188,Indian share registrar and transfer agent services,Terminate,"Bigshare is a share registry/transfer agent for Indian companies. Post-acquisition, the acquired company's standalone shareholding structure is absorbed into the acquirer; legacy registrar services for pre-deal equity are no longer needed. Low spend confirms minimal ongoing activity.",high
Zettanet,IT & Infrastructure,$183,Network/connectivity services or hosting provider,Investigate,"Low spend with opaque vendor name; need to confirm if this is active hosting, legacy connectivity, or can be terminated.",low
Hahn Air,Travel & Entertainment,$183,Airline ticketing system for booking multi-carrier flights,Consolidate,"Hahn Air is a ticketing intermediary; with Navan as primary travel platform, this should be consolidated or routed through Navan for unified booking and reporting",high
Vitality Works,Employee Experience,$182,Workplace wellness or employee health program services,Investigate,"Agree. $182 annual spend is unusually low for a wellness program—likely a pilot, single event, or inactive subscription. Worth confirming scope and whether it's still in use before termination or expansion decision.",medium
Avoxi Inc,IT & Infrastructure,$178,Cloud-based business phone system and VoIP services,Optimize,Correct classification. AVOXI provides cloud telephony/VoIP. $178/year is minimal spend suggesting limited usage; should evaluate consolidation into primary telecom stack.,high
Zapier Inc.,IT & Infrastructure,$167,Workflow automation platform connecting apps and services,Consolidate,"Zapier is a workflow automation tool; with Workato as the enterprise anchor platform, this low-spend Zapier instance should be consolidated to reduce tool sprawl.",high
"Solarwinds, Inc",IT & Infrastructure,$166,Network and systems monitoring software (SolarWinds Orion/NPM),Optimize,Agree. Very low spend suggests minimal seat/node count; assess if existing monitoring stack (likely overlaps with cloud-native tools) makes this redundant or if license can be consolidated further.,high
Xenon Savjetovanje D.O.O.,G&A,$164,Croatian consulting firm — unclear service scope,Investigate,"""Savjetovanje"" means ""consulting"" in Croatian. With only $164 spend and no clear indication of facilities-related work, this is general consulting that belongs in G&A rather than Facilities. Requires scope confirmation to determine actual service type.",low
Floom Ltd,Employee Experience,$162,Corporate flower delivery service for offices and gifts,Terminate,Agree: minimal spend on non-essential flower delivery; easy cut post-acquisition.,high
Notino S.R.O.,Employee Experience,$161,Czech cosmetics/personal care retailer — likely employee gifts or perks,Investigate,"Notino is a major European beauty/cosmetics e-retailer; $161 spend is minimal but purpose unclear — could be employee gifts, wellness perks, or personal expense miscoded. Needs verification of business justification.",low
"Paint&Wine, Vl. Stevo Dosen",Employee Experience,$159,Team building event — paint and wine social activity,Optimize,"Correctly classified as employee team-building activity. Low spend, retain but review frequency alongside other engagement events.",high
Parcelforce Worldwide,Facilities,$155,UK parcel delivery and courier services,Optimize,"Correct classification. Royal Mail subsidiary for UK parcel delivery; low spend suggests occasional use. Consolidate with other courier services (DHL, FedEx) for better rates.",high
Advena,G&A,$154,Staffing or recruitment agency (unconfirmed),Investigate,"Agree: 'Advena' is an opaque vendor name with minimal spend ($154); could be a small consultancy, local service, or miscoded expense. Requires clarification before classification.",low
Hrvatski Nezavisnici Izvoznici Softvera,G&A,$154,Croatian Independent Software Exporters association membership,Optimize,"Industry association memberships are not statutory/mandatory obligations - they are voluntary professional memberships. Protected is reserved for government fees, regulatory exams, and M&A transaction advisors. This is a low-spend optional membership that should be reviewed for value.",high
Monile J.D.O.O.,Facilities,$152,Croatian local vendor — likely cleaning or facility maintenance services,Investigate,"Agree. 'Monile' is opaque with no clear service indicator; D.O.O. structure and minimal spend ($152) suggest local facilities or services, but function cannot be confirmed from name alone. Investigate is appropriate.",low
Puzzle Promotion J.D.O.O.,Marketing,$143,Croatian promotional products and branded merchandise supplier,Optimize,Agree. Low-spend promo/swag vendor in Croatia; consolidate with other merchandise suppliers or batch orders for better pricing.,medium
Zagrebaä”Ki Holding D.O.O.,Facilities,$143,"Zagreb municipal utilities (water, waste, city services)",Protected,Zagrebački Holding is indeed the Zagreb municipal utility monopoly — statutory/mandatory spend for any office operating in Zagreb. Protected is correct.,high
Event Ors,Employee Experience,$143,Event planning or coordination services,Investigate,Agree: Ambiguous vendor name with minimal spend; could be event services but needs verification of scope and whether one-time or recurring.,low
Sportkart D.O.O.,Employee Experience,$141,Croatian sports/recreation equipment or activity provider,Terminate,"Sports/recreation for employees belongs in Employee Experience, not Facilities. At $141/year, this is trivial discretionary spend—likely a one-off purchase or small team activity. Recommend termination unless proven essential to employee wellness program.",medium
"Interaction Design Foundation, Inc",Employee Experience,$138,Online UX/UI design training and certification platform,Optimize,Correct classification. L&D platform for design skills fits Employee Experience. Low spend warrants seat audit to ensure only active learners are licensed.,high
(Blank),G&A,$137,Unidentified vendor or misbooked expense entry,Investigate,Blank vendor name with minimal spend indicates data entry error or uncoded expense requiring cleanup. Agree with PASS-1 assessment.,low
Escape Art D.O.O.,Employee Experience,$133,Croatian team building or corporate events provider,Optimize,"Escape Art clearly suggests escape room/team building activities. Low spend, appropriate department, Optimize is correct for occasional team events that could be consolidated under unified employee engagement budget.",high
Fero-Term,Facilities,$131,Croatian heating/HVAC maintenance and repairs,Optimize,Fero-Term is a Croatian HVAC/heating supplier; low spend for essential office climate maintenance fits Facilities. Optimize to consolidate with other local facilities vendors.,high
Ustanova Za Zdravstvenu Skrb P.P.,Statutory / Non-discretionary,$131,Croatian occupational health services and medical examinations,Protected,"Occupational health examinations are mandatory under Croatian labor law for employers; this is statutory compliance spend, not discretionary.",high
Vistaprint,Marketing,$130,"Online printing for business cards, flyers, marketing materials",Optimize,Correct classification. Vistaprint is standard marketing collateral printing. Low spend suggests infrequent use; consolidate with other print vendors or batch orders for efficiency.,high
Teb Poslovno Savjetovanje D.O.O.,Finance,$129,Croatian business consulting/advisory services,Investigate,Low spend Croatian D.O.O. with generic 'business consulting' name; scope unclear—could be tax/accounting advisory or general consulting. Worth brief inquiry to confirm necessity.,low
Illunis D.O.O.,Facilities,$128,Croatian local vendor — likely office supplies or maintenance,Investigate,"Agree with PASS-1: minimal spend D.O.O. entity with opaque name; cannot infer scope from vendor name alone, requires confirmation of service type before classification",low
The Cook Kitchen,Employee Experience,$123,Office catering and meal services for staff,Optimize,"Employee food/catering belongs in Employee Experience per Rule 4-5, not Facilities. Low spend suggests occasional use; consolidate with other caterers or negotiate volume discounts.",high
Australian Taxation Office (Ato),Statutory / Non-discretionary,$123,Australian government tax authority — mandatory withholding and filings,Protected,"Correct classification. ATO is the Australian federal tax authority; payments are statutory government obligations for AU operations, non-discretionary by definition.",high
Capitol Services,Legal,$120,Registered agent and corporate filing services,Optimize,"Capitol Services is a well-known registered agent provider handling state filings, annual reports, and compliance for US entities. Low spend aligns with registered agent fees. Not truly unknown — classify as Legal with Optimize (consolidate with other RA providers if multiple exist).",high
Bonus Opinio D.O.O.,Facilities,$120,Croatian office supplies or admin services,Investigate,"Agree: 'Bonus Opinio' is opaque, could be office services, surveys, or consulting. Low spend warrants quick confirmation of scope before classification.",low
Dhl Express (Uk) Ltd,Facilities,$119,International courier and express shipping services,Optimize,Correct classification. DHL is a courier/logistics provider for office shipping needs. Low spend suggests consolidation opportunity with other carriers.,high
Kat'S Kitchen D.O.O.,Employee Experience,$119,Croatian catering services for Zagreb/Split offices,Optimize,"Employee food/catering belongs in Employee Experience per rules, not Facilities. Very low spend suggests infrequent use; evaluate consolidation with other local caterers.",high
Soho Kitchen Ltd,Employee Experience,$104,UK catering/food services for office or events,Terminate,"Catering and office food services belong in Employee Experience, not Facilities per rule 4. Terminate recommendation is correct given minimal $104 annual spend.",high
Fortis Trade J.D.O.O.,Facilities,$95,Croatian local supplier — likely office supplies or maintenance,Investigate,Agree with PASS-1: Generic D.O.O. name with minimal $95 spend provides no clear indication of service type; requires verification before classification,low
Till Trade D.O.O.,Facilities,$93,Croatian local supplier — likely office supplies or minor services,Investigate,"Agree: 'Till Trade D.O.O.' is opaque — could be office supplies, minor trade goods, or miscoded expense. $93 spend is negligible but function unknown. Investigate to confirm scope before termination decision.",low
Pret A Manger,Employee Experience,$92,UK coffee/sandwich chain for employee meals,Optimize,"Employee food purchases (coffee, sandwiches) belong in Employee Experience, not Facilities per rule 4/5. Low spend, consolidate with other meal vendors.",high
Axil Coffee Roasters,Employee Experience,$89,Specialty coffee supply for employee consumption,Optimize,"Employee food/beverage (coffee, snacks, catering) belongs in Employee Experience per rules, not Facilities. Low spend suggests single-location; consolidate with other coffee/beverage vendors.",high
Pepco Croatia D.O.O.,Facilities,$89,Croatian retail supplier for office supplies and small equipment,Optimize,Pepco is a discount retail chain; $89 suggests ad-hoc office supply purchases. Correct classification under Facilities with Optimize to consolidate into formal procurement channels.,high
Lemia D.O.O.,Facilities,$88,Croatian local vendor - likely office supplies or maintenance,Investigate,Agree - $88 spend from opaque Croatian D.O.O. with no clear business category; scope confirmation needed before classification,low
Retriever Llc,G&A,$88,Background check or data retrieval vendor (unconfirmed),Investigate,"Name is opaque with minimal $88 spend; could be a niche service, reimbursement, or miscoded expense. Needs verification before action.",low
Meluba Limited,G&A,$88,UK-registered miscellaneous vendor (unconfirmed),Investigate,Opaque UK limited company name with negligible $88 spend; no clear service category discernible. Correct to investigate before classifying.,low
London Waste Management,Facilities,$86,Waste collection and disposal services for London office,Optimize,"Waste management is a routine operational service, not a statutory/regulatory fee paid to government. While commercial waste disposal may be legally required, the vendor providing it is a private service provider that can be renegotiated or switched. Protected is only for government fees, regulatory bodies, or M&A transaction advisors.",high
Hilton Garden Inn - Zagreb City Hotels D.O.O.,Travel & Entertainment,$82,"Hotel accommodation in Zagreb, Croatia",Consolidate,Correct classification. Low spend hotel booking should be consolidated under Navan travel platform for rate optimization and policy compliance.,high
Lider Media D.O.O.,Marketing,$80,Croatian media/advertising agency for local market campaigns,Terminate,Agree: $80 annual spend indicates trivial or dormant media service; safe to terminate post-acquisition.,high
Uptime Robot Service Provider Ltd,IT & Infrastructure,$78,Website/API uptime monitoring and alerting service,Optimize,Correctly classified. Low spend monitoring tool; evaluate consolidation into existing observability stack or retain if standalone value justified.,high
Mithras Consultants,G&A,$77,Niche advisory or freelance consultant (unconfirmed),Investigate,Agree: 'Mithras Consultants' is opaque with no clear service category; $77 spend is negligible but scope should be confirmed before termination decision.,low
6Sense Insights Inc,Marketing,$76,6sense ABM platform for intent data and account targeting,Optimize,"Agree. 6sense is a marketing ABM/intent tool. $76/yr is unusually low—likely a pilot, single seat, or partial billing period. Review actual usage and consolidate with other intent data tools if present.",high
Ico,Legal,$67,UK Information Commissioner's Office data protection registration fee,Protected,ICO is the UK's data protection regulator. This £35-equivalent fee is the mandatory annual data protection registration for UK entities - statutory/regulatory requirement.,high
Sportska Udruga Split,Employee Experience,$66,Croatian sports association membership or team activities,Optimize,Correctly classified as employee wellness/team activity for Croatian office; minimal spend suggests membership fee; Optimize appropriate to verify utilization before renewal.,medium
Prezzee,Employee Experience,$64,Digital gift card platform for employee rewards and recognition,Terminate,Agree. $64 annual spend indicates negligible usage—likely abandoned pilot or one-off purchase. Not worth retaining administrative overhead.,high
Inet Telecoms Ltd.,IT & Infrastructure,$63,UK telecommunications services provider,Terminate,Agree. $63/year is negligible spend indicating unused or redundant telecom line; consolidate into primary provider.,high
Wolt Enterprises Oy,Employee Experience,$62,Wolt food delivery service for employee meals/perks,Optimize,"Employee food/meals should be classified under Employee Experience, not Travel & Entertainment per classification rules. Recommendation and description remain appropriate.",high
Platinum Office D.O.O.,Facilities,$62,Croatia office supplies or administrative services,Terminate,Agree: $62/year spend is negligible; vendor overhead exceeds value. Consolidate into primary office supplies provider.,medium
Snappy Snaps,Facilities,$59,Retail photo printing and document services,Terminate,Agree. Trivial $59 spend for ad-hoc photo printing; can consolidate into standard office supplies or digital solutions.,high
New Block D.O.O.,Facilities,$56,Croatian local vendor — likely building maintenance or supplies,Investigate,Agree with PASS-1. 'New Block' suggests construction/building materials but $56 spend is too low to classify with confidence; could be one-time supplies or minor maintenance. Name is opaque enough to warrant investigation.,low
Cayman Islands Government,Statutory / Non-discretionary,$56,Cayman Islands government fees or regulatory filings,Protected,Mandatory government/regulatory fees for Cayman entity compliance are statutory obligations.,high
Officeworks,Facilities,$56,Australian office supplies and stationery retailer,Optimize,Agree. Officeworks is a well-known Australian office supplies retailer. $56 spend is minimal ad-hoc purchasing; consolidate under corporate procurement to reduce vendor fragmentation.,high
Click Send Pty Ltd,IT & Infrastructure,$55,SMS/email API for transactional messaging and notifications,Optimize,Correct classification. ClickSend is a messaging API provider; $55/year suggests minimal usage — worth reviewing if active or can be consolidated with other comms tools.,high
Kidl Kwik Centre 565,Facilities,$55,Local convenience/retail purchases or supplies,Investigate,Agree: Low-spend retail/convenience store purchase warrants investigation to confirm legitimate business expense vs. misbooked personal reimbursement.,low
Shilton Hospitality Llp,Employee Experience,$55,UK hospitality/catering services for office or events,Terminate,"Catering/hospitality services belong in Employee Experience, not Facilities per rules. Terminate recommendation is correct given negligible $55 spend indicating one-off usage.",high
Axosoft Gitkraken,Engineering,$54,GitKraken Git GUI client for developer workflow,Optimize,"Correct classification. $54/year indicates 1-2 seats; worth verifying active usage vs free alternatives (VS Code Git, command line).",high
Istra Wine,Employee Experience,$53,Croatian wine supplier for office events/hospitality,Terminate,"Wine for office events is Employee Experience, not Facilities. At $53/year, this is de minimis spend that should be consolidated with other event/catering vendors or terminated as standalone.",high
Gophr,Facilities,$52,UK same-day courier and delivery services,Optimize,Gophr is a UK courier/delivery platform; Facilities is correct for transport/courier services. Low spend suggests ad-hoc use; worth consolidating into primary courier contract.,high
Pan-Pek D.O.O.,Employee Experience,$50,Croatian bakery/catering services for Zagreb/Split offices,Terminate,"Employee food/catering belongs in Employee Experience, not Facilities. At $50/year, this is de minimis spend—one of many small Croatian food vendors that can be terminated or absorbed into consolidated catering.",high
Uber *Eats,Employee Experience,$50,Employee meal delivery service,Optimize,"Employee food/meals should be categorized under Employee Experience, not Travel & Entertainment per classification rules. Recommendation and description remain appropriate.",high
Fedex Express Uk Transportation Ltd,Facilities,$47,UK express courier and package delivery services,Optimize,"Correct classification - courier services belong in Facilities; $47 spend suggests minimal usage, consolidate with primary shipping provider.",high
Garden City D.O.O.,Employee Experience,$45,Office catering and employee meals or office plant care,Terminate,"Garden City D.O.O. name suggests food/catering or office plants rather than facilities maintenance. At $45/year, this is trivial spend likely for a one-off meal or small service. Too small to justify any procurement overhead — recommend termination or letting contract lapse.",medium
Livingstone,Corporate Development,$41,M&A advisory services (one-time transaction fees),Protected,Livingstone is a known M&A advisory firm; $41 likely represents minor residual/ancillary transaction fee. One-time deal-related expense qualifies for Protected.,high
Ekupi D.O.O.,Facilities,$40,Croatian retail/convenience store purchases for office supplies,Investigate,Agree with PASS-1. Ekupi is a Croatian e-commerce/retail platform; $40 spend is minimal but nature unclear—could be office supplies or misbooked personal expense. Worth quick verification given Croatian office presence.,low
Farmacia - Specijalizirana Prodavaonica D.O.O.,Facilities,$36,Croatian pharmacy — workplace first-aid supplies,Optimize,"Agree. Low-spend pharmacy consistent with occasional first-aid/medical supply purchases for office. Facilities is correct (workplace safety supplies, not employee benefits). Optimize appropriate — could consolidate into broader office supplies vendor.",medium
Cupcake Central (Life Is Sweet Bakery),Employee Experience,$35,Bakery for office celebrations or team treats,Optimize,Agree with classification. Minimal spend bakery for occasional office treats; consolidate under broader catering policy rather than terminate.,high
Post Office Ltd,Facilities,$32,Postal services for UK office mail and packages,Optimize,Correctly classified as Facilities (courier/postal services for office). $32/year is minimal but legitimate operational expense; Optimize is appropriate to verify necessity.,high
Currys Pc World,IT & Infrastructure,$30,UK consumer electronics retailer — ad-hoc hardware purchases,Terminate,Agree. £30 at a consumer electronics retailer indicates ad-hoc personal-style purchases; enterprise IT procurement should consolidate to volume-discounted channels.,high
